utt_id,spk_id,path,condition
BAC009S0251W0458,S0251,wav/S0251/BAC009S0251W0458.wav,clean
BAC009S0251W0349,S0251,wav/S0251/BAC009S0251W0349.wav,clean
BAC009S0251W0248,S0251,wav/S0251/BAC009S0251W0248.wav,clean
BAC009S0251W0448,S0251,wav/S0251/BAC009S0251W0448.wav,clean
BAC009S0251W0491,S0251,wav/S0251/BAC009S0251W0491.wav,clean
BAC009S0251W0312,S0251,wav/S0251/BAC009S0251W0312.wav,clean
BAC009S0251W0151,S0251,wav/S0251/BAC009S0251W0151.wav,clean
BAC009S0251W0463,S0251,wav/S0251/BAC009S0251W0463.wav,clean
BAC009S0251W0264,S0251,wav/S0251/BAC009S0251W0264.wav,clean
BAC009S0251W0433,S0251,wav/S0251/BAC009S0251W0433.wav,clean
BAC009S0251W0184,S0251,wav/S0251/BAC009S0251W0184.wav,clean
BAC009S0251W0411,S0251,wav/S0251/BAC009S0251W0411.wav,clean
BAC009S0251W0316,S0251,wav/S0251/BAC009S0251W0316.wav,clean
BAC009S0251W0203,S0251,wav/S0251/BAC009S0251W0203.wav,clean
BAC009S0251W0468,S0251,wav/S0251/BAC009S0251W0468.wav,clean
BAC009S0251W0143,S0251,wav/S0251/BAC009S0251W0143.wav,clean
BAC009S0251W0240,S0251,wav/S0251/BAC009S0251W0240.wav,clean
BAC009S0251W0191,S0251,wav/S0251/BAC009S0251W0191.wav,clean
BAC009S0251W0222,S0251,wav/S0251/BAC009S0251W0222.wav,clean
BAC009S0251W0182,S0251,wav/S0251/BAC009S0251W0182.wav,clean
BAC009S0251W0470,S0251,wav/S0251/BAC009S0251W0470.wav,clean
BAC009S0251W0464,S0251,wav/S0251/BAC009S0251W0464.wav,clean
BAC009S0251W0154,S0251,wav/S0251/BAC009S0251W0154.wav,clean
BAC009S0251W0239,S0251,wav/S0251/BAC009S0251W0239.wav,clean
BAC009S0096W0157,S0096,wav/S0096/BAC009S0096W0157.wav,clean
BAC009S0096W0308,S0096,wav/S0096/BAC009S0096W0308.wav,clean
BAC009S0096W0361,S0096,wav/S0096/BAC009S0096W0361.wav,clean
BAC009S0096W0165,S0096,wav/S0096/BAC009S0096W0165.wav,clean
BAC009S0096W0490,S0096,wav/S0096/BAC009S0096W0490.wav,clean
BAC009S0096W0195,S0096,wav/S0096/BAC009S0096W0195.wav,clean
BAC009S0096W0280,S0096,wav/S0096/BAC009S0096W0280.wav,clean
BAC009S0096W0260,S0096,wav/S0096/BAC009S0096W0260.wav,clean
BAC009S0096W0303,S0096,wav/S0096/BAC009S0096W0303.wav,clean
BAC009S0096W0352,S0096,wav/S0096/BAC009S0096W0352.wav,clean
BAC009S0096W0143,S0096,wav/S0096/BAC009S0096W0143.wav,clean
BAC009S0096W0427,S0096,wav/S0096/BAC009S0096W0427.wav,clean
BAC009S0096W0464,S0096,wav/S0096/BAC009S0096W0464.wav,clean
BAC009S0096W0183,S0096,wav/S0096/BAC009S0096W0183.wav,clean
BAC009S0096W0384,S0096,wav/S0096/BAC009S0096W0384.wav,clean
BAC009S0096W0172,S0096,wav/S0096/BAC009S0096W0172.wav,clean
BAC009S0096W0251,S0096,wav/S0096/BAC009S0096W0251.wav,clean
BAC009S0096W0190,S0096,wav/S0096/BAC009S0096W0190.wav,clean
BAC009S0096W0329,S0096,wav/S0096/BAC009S0096W0329.wav,clean
BAC009S0096W0474,S0096,wav/S0096/BAC009S0096W0474.wav,clean
BAC009S0096W0264,S0096,wav/S0096/BAC009S0096W0264.wav,clean
BAC009S0096W0313,S0096,wav/S0096/BAC009S0096W0313.wav,clean
BAC009S0096W0216,S0096,wav/S0096/BAC009S0096W0216.wav,clean
BAC009S0096W0218,S0096,wav/S0096/BAC009S0096W0218.wav,clean
BAC009S0160W0279,S0160,wav/S0160/BAC009S0160W0279.wav,clean
BAC009S0160W0134,S0160,wav/S0160/BAC009S0160W0134.wav,clean
BAC009S0160W0166,S0160,wav/S0160/BAC009S0160W0166.wav,clean
BAC009S0160W0485,S0160,wav/S0160/BAC009S0160W0485.wav,clean
BAC009S0160W0194,S0160,wav/S0160/BAC009S0160W0194.wav,clean
BAC009S0160W0451,S0160,wav/S0160/BAC009S0160W0451.wav,clean
BAC009S0160W0325,S0160,wav/S0160/BAC009S0160W0325.wav,clean
BAC009S0160W0413,S0160,wav/S0160/BAC009S0160W0413.wav,clean
BAC009S0160W0297,S0160,wav/S0160/BAC009S0160W0297.wav,clean
BAC009S0160W0197,S0160,wav/S0160/BAC009S0160W0197.wav,clean
BAC009S0160W0354,S0160,wav/S0160/BAC009S0160W0354.wav,clean
BAC009S0160W0494,S0160,wav/S0160/BAC009S0160W0494.wav,clean
BAC009S0160W0174,S0160,wav/S0160/BAC009S0160W0174.wav,clean
BAC009S0160W0343,S0160,wav/S0160/BAC009S0160W0343.wav,clean
BAC009S0160W0314,S0160,wav/S0160/BAC009S0160W0314.wav,clean
BAC009S0160W0122,S0160,wav/S0160/BAC009S0160W0122.wav,clean
BAC009S0160W0375,S0160,wav/S0160/BAC009S0160W0375.wav,clean
BAC009S0160W0249,S0160,wav/S0160/BAC009S0160W0249.wav,clean
BAC009S0160W0448,S0160,wav/S0160/BAC009S0160W0448.wav,clean
BAC009S0160W0205,S0160,wav/S0160/BAC009S0160W0205.wav,clean
BAC009S0160W0271,S0160,wav/S0160/BAC009S0160W0271.wav,clean
BAC009S0160W0404,S0160,wav/S0160/BAC009S0160W0404.wav,clean
BAC009S0160W0155,S0160,wav/S0160/BAC009S0160W0155.wav,clean
BAC009S0160W0260,S0160,wav/S0160/BAC009S0160W0260.wav,clean
BAC009S0166W0435,S0166,wav/S0166/BAC009S0166W0435.wav,clean
BAC009S0166W0377,S0166,wav/S0166/BAC009S0166W0377.wav,clean
BAC009S0166W0413,S0166,wav/S0166/BAC009S0166W0413.wav,clean
BAC009S0166W0209,S0166,wav/S0166/BAC009S0166W0209.wav,clean
BAC009S0166W0230,S0166,wav/S0166/BAC009S0166W0230.wav,clean
BAC009S0166W0336,S0166,wav/S0166/BAC009S0166W0336.wav,clean
BAC009S0166W0315,S0166,wav/S0166/BAC009S0166W0315.wav,clean
BAC009S0166W0260,S0166,wav/S0166/BAC009S0166W0260.wav,clean
BAC009S0166W0174,S0166,wav/S0166/BAC009S0166W0174.wav,clean
BAC009S0166W0466,S0166,wav/S0166/BAC009S0166W0466.wav,clean
BAC009S0166W0318,S0166,wav/S0166/BAC009S0166W0318.wav,clean
BAC009S0166W0323,S0166,wav/S0166/BAC009S0166W0323.wav,clean
BAC009S0166W0193,S0166,wav/S0166/BAC009S0166W0193.wav,clean
BAC009S0166W0409,S0166,wav/S0166/BAC009S0166W0409.wav,clean
BAC009S0166W0342,S0166,wav/S0166/BAC009S0166W0342.wav,clean
BAC009S0166W0381,S0166,wav/S0166/BAC009S0166W0381.wav,clean
BAC009S0166W0240,S0166,wav/S0166/BAC009S0166W0240.wav,clean
BAC009S0166W0257,S0166,wav/S0166/BAC009S0166W0257.wav,clean
BAC009S0166W0147,S0166,wav/S0166/BAC009S0166W0147.wav,clean
BAC009S0166W0457,S0166,wav/S0166/BAC009S0166W0457.wav,clean
BAC009S0166W0135,S0166,wav/S0166/BAC009S0166W0135.wav,clean
BAC009S0166W0495,S0166,wav/S0166/BAC009S0166W0495.wav,clean
BAC009S0166W0436,S0166,wav/S0166/BAC009S0166W0436.wav,clean
BAC009S0166W0175,S0166,wav/S0166/BAC009S0166W0175.wav,clean
BAC009S0248W0477,S0248,wav/S0248/BAC009S0248W0477.wav,clean
BAC009S0248W0388,S0248,wav/S0248/BAC009S0248W0388.wav,clean
BAC009S0248W0404,S0248,wav/S0248/BAC009S0248W0404.wav,clean
BAC009S0248W0352,S0248,wav/S0248/BAC009S0248W0352.wav,clean
BAC009S0248W0126,S0248,wav/S0248/BAC009S0248W0126.wav,clean
BAC009S0248W0291,S0248,wav/S0248/BAC009S0248W0291.wav,clean
BAC009S0248W0414,S0248,wav/S0248/BAC009S0248W0414.wav,clean
BAC009S0248W0138,S0248,wav/S0248/BAC009S0248W0138.wav,clean
BAC009S0248W0122,S0248,wav/S0248/BAC009S0248W0122.wav,clean
BAC009S0248W0370,S0248,wav/S0248/BAC009S0248W0370.wav,clean
BAC009S0248W0306,S0248,wav/S0248/BAC009S0248W0306.wav,clean
BAC009S0248W0351,S0248,wav/S0248/BAC009S0248W0351.wav,clean
BAC009S0248W0161,S0248,wav/S0248/BAC009S0248W0161.wav,clean
BAC009S0248W0176,S0248,wav/S0248/BAC009S0248W0176.wav,clean
BAC009S0248W0246,S0248,wav/S0248/BAC009S0248W0246.wav,clean
BAC009S0248W0327,S0248,wav/S0248/BAC009S0248W0327.wav,clean
BAC009S0248W0346,S0248,wav/S0248/BAC009S0248W0346.wav,clean
BAC009S0248W0486,S0248,wav/S0248/BAC009S0248W0486.wav,clean
BAC009S0248W0150,S0248,wav/S0248/BAC009S0248W0150.wav,clean
BAC009S0248W0292,S0248,wav/S0248/BAC009S0248W0292.wav,clean
BAC009S0248W0471,S0248,wav/S0248/BAC009S0248W0471.wav,clean
BAC009S0248W0133,S0248,wav/S0248/BAC009S0248W0133.wav,clean
BAC009S0248W0495,S0248,wav/S0248/BAC009S0248W0495.wav,clean
BAC009S0248W0206,S0248,wav/S0248/BAC009S0248W0206.wav,clean
BAC009S0230W0278,S0230,wav/S0230/BAC009S0230W0278.wav,clean
BAC009S0230W0379,S0230,wav/S0230/BAC009S0230W0379.wav,clean
BAC009S0230W0124,S0230,wav/S0230/BAC009S0230W0124.wav,clean
BAC009S0230W0265,S0230,wav/S0230/BAC009S0230W0265.wav,clean
BAC009S0230W0474,S0230,wav/S0230/BAC009S0230W0474.wav,clean
BAC009S0230W0135,S0230,wav/S0230/BAC009S0230W0135.wav,clean
BAC009S0230W0354,S0230,wav/S0230/BAC009S0230W0354.wav,clean
BAC009S0230W0361,S0230,wav/S0230/BAC009S0230W0361.wav,clean
BAC009S0230W0210,S0230,wav/S0230/BAC009S0230W0210.wav,clean
BAC009S0230W0396,S0230,wav/S0230/BAC009S0230W0396.wav,clean
BAC009S0230W0384,S0230,wav/S0230/BAC009S0230W0384.wav,clean
BAC009S0230W0217,S0230,wav/S0230/BAC009S0230W0217.wav,clean
BAC009S0230W0173,S0230,wav/S0230/BAC009S0230W0173.wav,clean
BAC009S0230W0318,S0230,wav/S0230/BAC009S0230W0318.wav,clean
BAC009S0230W0286,S0230,wav/S0230/BAC009S0230W0286.wav,clean
BAC009S0230W0473,S0230,wav/S0230/BAC009S0230W0473.wav,clean
BAC009S0230W0158,S0230,wav/S0230/BAC009S0230W0158.wav,clean
BAC009S0230W0495,S0230,wav/S0230/BAC009S0230W0495.wav,clean
BAC009S0230W0190,S0230,wav/S0230/BAC009S0230W0190.wav,clean
BAC009S0230W0352,S0230,wav/S0230/BAC009S0230W0352.wav,clean
BAC009S0230W0405,S0230,wav/S0230/BAC009S0230W0405.wav,clean
BAC009S0230W0491,S0230,wav/S0230/BAC009S0230W0491.wav,clean
BAC009S0230W0152,S0230,wav/S0230/BAC009S0230W0152.wav,clean
BAC009S0230W0432,S0230,wav/S0230/BAC009S0230W0432.wav,clean
BAC009S0192W0233,S0192,wav/S0192/BAC009S0192W0233.wav,clean
BAC009S0192W0175,S0192,wav/S0192/BAC009S0192W0175.wav,clean
BAC009S0192W0382,S0192,wav/S0192/BAC009S0192W0382.wav,clean
BAC009S0192W0132,S0192,wav/S0192/BAC009S0192W0132.wav,clean
BAC009S0192W0399,S0192,wav/S0192/BAC009S0192W0399.wav,clean
BAC009S0192W0398,S0192,wav/S0192/BAC009S0192W0398.wav,clean
BAC009S0192W0240,S0192,wav/S0192/BAC009S0192W0240.wav,clean
BAC009S0192W0241,S0192,wav/S0192/BAC009S0192W0241.wav,clean
BAC009S0192W0238,S0192,wav/S0192/BAC009S0192W0238.wav,clean
BAC009S0192W0438,S0192,wav/S0192/BAC009S0192W0438.wav,clean
BAC009S0192W0220,S0192,wav/S0192/BAC009S0192W0220.wav,clean
BAC009S0192W0345,S0192,wav/S0192/BAC009S0192W0345.wav,clean
BAC009S0192W0136,S0192,wav/S0192/BAC009S0192W0136.wav,clean
